"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_21__stock_fund_lend__winsor_top1__unweighted","denom_21","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00150637197788132,0.00165740441721055,0.363431493798682,14686,0.00149362802211868,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00292627337077456,0.00149362802211868,14686,1
"denom_21__stock_fund_lend__winsor_top1__unweighted","denom_21","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000567354651344112,0.00163922972781172,0.729264618738569,14686,0.00143264534865589,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00292627337077456,0.00149362802211868,14686,1
"denom_21__stock_fund_lend__all__unweighted","denom_21","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00150496754820313,0.00165829377902955,0.364136323517297,14686,0.00149503245179687,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00292924817037574,0.00149503245179687,14686,2
"denom_21__stock_fund_lend__all__unweighted","denom_21","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000565784281421129,0.00164012061419713,0.730125591726861,14686,0.00143421571857887,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00292924817037574,0.00149503245179687,14686,2
"denom_21__stock_fund_lend__winsor_top2__unweighted","denom_21","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00149484053424641,0.00164098358722537,0.362340995772586,14686,0.00150515946575359,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00294536182674112,0.00150515946575359,14686,3
"denom_21__stock_fund_lend__winsor_top2__unweighted","denom_21","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.00055979763901247,0.00162277430836202,0.730126876478497,14686,0.00144020236098753,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00294536182674112,0.00150515946575359,14686,3
"denom_5__stock_fund_lend__winsor_top1__unweighted","denom_5","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00147671471782845,0.001708673475675,0.387466723586253,14686,0.00152328528217155,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302308692043925,0.00152328528217155,14686,4
"denom_5__stock_fund_lend__winsor_top1__unweighted","denom_5","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000500198361732306,0.00168839476330483,0.767038195978506,14686,0.00149980163826769,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302308692043925,0.00152328528217155,14686,4
"denom_5__stock_fund_lend__all__unweighted","denom_5","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00147662172769664,0.00170875305727173,0.387518719051767,14686,0.00152337827230336,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302329192465638,0.00152337827230336,14686,5
"denom_5__stock_fund_lend__all__unweighted","denom_5","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000500086347646979,0.00168847357449996,0.767099414364665,14686,0.00149991365235302,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302329192465638,0.00152337827230336,14686,5
"denom_5__stock_fund_lend__winsor_top2__unweighted","denom_5","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00147154405812579,0.00169370613076167,0.384953882215761,14686,0.00152845594187421,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302953976109147,0.00152845594187421,14686,6
"denom_5__stock_fund_lend__winsor_top2__unweighted","denom_5","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000498916180782741,0.00167345371800311,0.765603866870292,14686,0.00150108381921726,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00302953976109147,0.00152845594187421,14686,6
"denom_17__stock_fund_lend__winsor_top1__unweighted","denom_17","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00144404871642353,0.0016716999155066,0.387700594468533,14686,0.00155595128357647,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00312145721663371,0.00156550593305723,14686,7
"denom_17__stock_fund_lend__winsor_top1__unweighted","denom_17","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000434494066942767,0.0016525887726547,0.79261806333367,14686,0.00156550593305723,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00312145721663371,0.00156550593305723,14686,7
"denom_17__stock_fund_lend__all__unweighted","denom_17","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00144308803426308,0.00167232038281557,0.388192479329459,14686,0.00155691196573692,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00312353732066376,0.00156662535492684,14686,8
"denom_17__stock_fund_lend__all__unweighted","denom_17","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.00043337464507316,0.00165320724192942,0.793215835585674,14686,0.00156662535492684,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00312353732066376,0.00156662535492684,14686,8
"denom_17__stock_fund_lend__winsor_top2__unweighted","denom_17","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00143537437942295,0.0016563975432166,0.386195138219302,14686,0.00156462562057705,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00313362336136116,0.00156899774078411,14686,9
"denom_17__stock_fund_lend__winsor_top2__unweighted","denom_17","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000431002259215889,0.00163728457696113,0.792367664525558,14686,0.00156899774078411,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00313362336136116,0.00156899774078411,14686,9
"denom_29__stock_fund_lend__winsor_top1__unweighted","denom_29","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00139562054193776,0.00164663903966053,0.396698511373932,14686,0.00160437945806224,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00313872633283008,0.00160437945806224,14686,10
"denom_29__stock_fund_lend__winsor_top1__unweighted","denom_29","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000465653125232156,0.00162928734786788,0.775034023761665,14686,0.00153434687476784,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00313872633283008,0.00160437945806224,14686,10
