"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_5__stock_fund_lend__winsor_top2__impute0","denom_5","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00190869184282593,0.0016648577353698,0.251622695353527,15598,0.00109130815717407,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222662174139059,0.00113531358421651,15598,1
"denom_5__stock_fund_lend__winsor_top2__impute0","denom_5","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000864686415783485,0.0016442100809071,0.598966717412736,15598,0.00113531358421651,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222662174139059,0.00113531358421651,15598,1
"denom_5__stock_fund_lend__all__impute0","denom_5","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00191008149405993,0.00167524108666737,0.254227556355008,15598,0.00108991850594007,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222678840298934,0.00113686989704927,15598,2
"denom_5__stock_fund_lend__all__impute0","denom_5","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000863130102950725,0.00165459925333235,0.60191791674884,15598,0.00113686989704927,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222678840298934,0.00113686989704927,15598,2
"denom_5__stock_fund_lend__winsor_top1__impute0","denom_5","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00191008149405993,0.00167524108666737,0.254227556355008,15598,0.00108991850594007,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222678840298934,0.00113686989704927,15598,3
"denom_5__stock_fund_lend__winsor_top1__impute0","denom_5","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000863130102950725,0.00165459925333235,0.60191791674884,15598,0.00113686989704927,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,0,0.00222678840298934,0.00113686989704927,15598,3
"denom_1__stock_fund_lend__all__impute0","denom_1","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00191068860213395,0.00168827680261191,0.257761605274907,15598,0.00108931139786605,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,0,0.00230445191636252,0.00121514051849647,15598,4
"denom_1__stock_fund_lend__all__impute0","denom_1","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.00078485948150353,0.00166646506707655,0.637666849443899,15598,0.00121514051849647,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,0,0.00230445191636252,0.00121514051849647,15598,4
"denom_1__stock_fund_lend__winsor_top1__impute0","denom_1","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00191068860213395,0.00168827680261191,0.257761605274907,15598,0.00108931139786605,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,0,0.00230445191636252,0.00121514051849647,15598,5
"denom_1__stock_fund_lend__winsor_top1__impute0","denom_1","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.00078485948150353,0.00166646506707655,0.637666849443899,15598,0.00121514051849647,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,0,0.00230445191636252,0.00121514051849647,15598,5
