"rank_by_target_error","scenario_id","sample_variant","risk_spec","model_id","coef_fmt","se_fmt","p_fmt","n","total_abs_error_to_targets"
1,"denom_21__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(3)","-0.0015","(0.0017)","0.3634",14686,0.00292627337077456
1,"denom_21__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(4)","-0.0006","(0.0016)","0.7293",14686,0.00292627337077456
2,"denom_21__stock_fund_lend__all__unweighted","all","stock_fund_lend","(3)","-0.0015","(0.0017)","0.3641",14686,0.00292924817037574
2,"denom_21__stock_fund_lend__all__unweighted","all","stock_fund_lend","(4)","-0.0006","(0.0016)","0.7301",14686,0.00292924817037574
3,"denom_21__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(3)","-0.0015","(0.0016)","0.3623",14686,0.00294536182674112
3,"denom_21__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(4)","-0.0006","(0.0016)","0.7301",14686,0.00294536182674112
4,"denom_5__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(3)","-0.0015","(0.0017)","0.3875",14686,0.00302308692043925
4,"denom_5__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(4)","-0.0005","(0.0017)","0.7670",14686,0.00302308692043925
5,"denom_5__stock_fund_lend__all__unweighted","all","stock_fund_lend","(3)","-0.0015","(0.0017)","0.3875",14686,0.00302329192465638
5,"denom_5__stock_fund_lend__all__unweighted","all","stock_fund_lend","(4)","-0.0005","(0.0017)","0.7671",14686,0.00302329192465638
6,"denom_5__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(3)","-0.0015","(0.0017)","0.3850",14686,0.00302953976109147
6,"denom_5__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(4)","-0.0005","(0.0017)","0.7656",14686,0.00302953976109147
7,"denom_17__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(3)","-0.0014","(0.0017)","0.3877",14686,0.00312145721663371
7,"denom_17__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(4)","-0.0004","(0.0017)","0.7926",14686,0.00312145721663371
8,"denom_17__stock_fund_lend__all__unweighted","all","stock_fund_lend","(3)","-0.0014","(0.0017)","0.3882",14686,0.00312353732066376
8,"denom_17__stock_fund_lend__all__unweighted","all","stock_fund_lend","(4)","-0.0004","(0.0017)","0.7932",14686,0.00312353732066376
9,"denom_17__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(3)","-0.0014","(0.0017)","0.3862",14686,0.00313362336136116
9,"denom_17__stock_fund_lend__winsor_top2__unweighted","winsor_top2","stock_fund_lend","(4)","-0.0004","(0.0016)","0.7924",14686,0.00313362336136116
10,"denom_29__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(3)","-0.0014","(0.0016)","0.3967",14686,0.00313872633283008
10,"denom_29__stock_fund_lend__winsor_top1__unweighted","winsor_top1","stock_fund_lend","(4)","-0.0005","(0.0016)","0.7750",14686,0.00313872633283008
