"rank_by_target_error","scenario_id","sample_variant","risk_spec","model_id","coef_fmt","se_fmt","p_fmt","n","total_abs_error_to_targets"
1,"denom_5__stock_fund_lend__winsor_top2__impute0","winsor_top2","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2516",15598,0.00222662174139059
1,"denom_5__stock_fund_lend__winsor_top2__impute0","winsor_top2","stock_fund_lend","(4)","-0.0009","(0.0016)","0.5990",15598,0.00222662174139059
2,"denom_5__stock_fund_lend__all__impute0","all","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2542",15598,0.00222678840298934
2,"denom_5__stock_fund_lend__all__impute0","all","stock_fund_lend","(4)","-0.0009","(0.0017)","0.6019",15598,0.00222678840298934
3,"denom_5__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2542",15598,0.00222678840298934
3,"denom_5__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(4)","-0.0009","(0.0017)","0.6019",15598,0.00222678840298934
4,"denom_1__stock_fund_lend__all__impute0","all","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2578",15598,0.00230445191636252
4,"denom_1__stock_fund_lend__all__impute0","all","stock_fund_lend","(4)","-0.0008","(0.0017)","0.6377",15598,0.00230445191636252
5,"denom_1__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2578",15598,0.00230445191636252
5,"denom_1__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(4)","-0.0008","(0.0017)","0.6377",15598,0.00230445191636252
6,"denom_1__stock_fund_lend__winsor_top2__impute0","winsor_top2","stock_fund_lend","(3)","-0.0019","(0.0017)","0.2555",15598,0.00230502590154157
6,"denom_1__stock_fund_lend__winsor_top2__impute0","winsor_top2","stock_fund_lend","(4)","-0.0008","(0.0017)","0.6350",15598,0.00230502590154157
7,"denom_13__stock_fund_lend__all__impute0","all","stock_fund_lend","(3)","-0.0018","(0.0017)","0.2740",15598,0.00240003368423057
7,"denom_13__stock_fund_lend__all__impute0","all","stock_fund_lend","(4)","-0.0008","(0.0016)","0.6338",15598,0.00240003368423057
8,"denom_13__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(3)","-0.0018","(0.0017)","0.2740",15598,0.00240003368423057
8,"denom_13__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(4)","-0.0008","(0.0016)","0.6338",15598,0.00240003368423057
9,"denom_21__stock_fund_lend__all__impute0","all","stock_fund_lend","(3)","-0.0018","(0.0016)","0.2672",15598,0.00240213239862599
9,"denom_21__stock_fund_lend__all__impute0","all","stock_fund_lend","(4)","-0.0008","(0.0016)","0.6203",15598,0.00240213239862599
10,"denom_21__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(3)","-0.0018","(0.0016)","0.2672",15598,0.00240213239862599
10,"denom_21__stock_fund_lend__winsor_top1__impute0","winsor_top1","stock_fund_lend","(4)","-0.0008","(0.0016)","0.6203",15598,0.00240213239862599
